回答番号,受付番号,回答日時,あなたの性別は？,あなたが住んでる地区は？,あなたが住んでる地区の良いところや好きなところ、自慢したいところは？,鯖江市に変わってほしいところや不便なところは？,あなたが社会人になっても鯖江市（市外の方は今住んでるまち）に住み続けたい？ [※１～２を選択した人の次の設問はQ７です],Q5で３～５を選択した人にお聞きします。具体的にどこに移りたいですか？ [都道府県、市町、地区名など],Ｑ５であなたが選んだ理由は？ [できるだけ具体的にお願いいたします。],あなたが欲しい情報を探したり集めたりするときに使うものは？ [（○は３つまで）],あなたは鯖江市がどんなまちになったらいいと思いますか？ [（○は３つまで）],鯖江市の将来像について、夢や希望、アイデアなど、想いを自由に書いてください。,その他、市に対して言いたいことを、自由に書いてください。
145,PB00014586,2023-07-14T09:28:22,男性,鯖江（惜陰・進徳小学校区）,俺がいること,高齢化の伴う人口の現象,１．いま住んでる地区にずっと住み続けたい,,地元盛り上げてhood starになるため,パソコン;テレビ;その他,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;地域資源を活かした観光交流が盛んなまち,"住民税を安くして住みやすい形にする
地元愛の強い国にする",税金安くして安月給の若者の住みやすい街にしろ。さらにへるぞ
144,PB00014430,2023-07-14T09:28:20,女性,市外,公園が沢山ある,テーマパークを増やすべきだと思う。,５．県外に移りたい,愛知県,色々融通が利きそうだから,パソコン;スマートフォン（スマホ）;テレビ,若者や女性に選ばれる魅力のあるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,住みたい街ランキング一位に選ばれたらいいと思う,
143,PB00014386,2023-07-14T09:28:09,女性,立待,小さな子が遊べる場所が身の回りにあるところ,バスなどが使いづらい,５．県外に移りたい,東京都,大きな企業が県外に多いから,パソコン;スマートフォン（スマホ）;タブレット端末,子どもから高齢者まで安心して教育を受けられるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち;個性を尊重し多様なライフスタイルが実現できるまち,色々な個性を持っていて、それぞれを尊重し会えるような人たちであふれる市,
142,PB00014222,2023-07-14T09:27:25,女性,吉川,コウノトリが普通にいる,バスの数が少なく不便,５．県外に移りたい,,なにかと不便が多い,スマートフォン（スマホ）,安心して結婚・出産・子育てができるまち,,
141,PB00014184,2023-07-14T09:27:16,男性,鯖江（惜陰・進徳小学校区）,特にない,もう少し遊べる場所を増やしてほしい,２．一度、市を出て、また帰ってきたい,,大学に行く可能性があるから,パソコン;スマートフォン（スマホ）;テレビ,産業が盛んで働く場所が充実したまち;若者や女性に選ばれる魅力のあるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,
140,PB00014086,2023-07-14T09:27:11,男性,市外,自然豊か,なし,１．いま住んでる地区にずっと住み続けたい,,今住んでいる場所に特に不満を感じていないから,パソコン;スマートフォン（スマホ）;テレビ,まちなみや景観が美しいまち;だれもが自由に移動できる交通利便性の高いまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,みんな安全に住むことができる街,なし
139,PB00013920,2023-07-14T09:27:04,回答しない,市外,,,５．県外に移りたい,関西の方,方言かわいい,スマートフォン（スマホ）;パソコン;タブレット端末,子どもから高齢者まで安心して教育を受けられるまち;高度な医療や福祉サービスが充実したまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,
138,PB00013872,2023-07-14T09:26:50,女性,吉川,自然,遊べる場所が少ない,５．県外に移りたい,神戸,ほどよく都会だから,スマートフォン（スマホ）,人々のふれあいやコミュニティ活動が盛んで温かいまち;身近に自然を感じることのできるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,お店がいっぱいできてほしい,遊べる場所がない
137,PB00013792,2023-07-14T09:26:35,男性,鯖江（惜陰・進徳小学校区）,ない,車が必須なぐらい施設が少ないので車を持っていないとできることが限られること,５．県外に移りたい,関東地方,鯖江市が不便だから,スマートフォン（スマホ）;パソコン,安心して結婚・出産・子育てができるまち;だれもが自由に移動できる交通利便性の高いまち,便利になって欲しい,無駄な施設ばっかり作らないでほしい
136,PB00013656,2023-07-14T09:26:29,男性,市外,,,１．いま住んでる地区にずっと住み続けたい,,他にいいところがなさそうだから,スマートフォン（スマホ）,スポーツに親しむ環境が整備されたまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,
135,PB00013550,2023-07-14T09:26:27,男性,中河,自然,田舎,５．県外に移りたい,隣県,新しい場所に行きたいから,パソコン;スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち,住みやすい街になって欲しい,
134,PB00013459,2023-07-14T09:26:18,男性,鯖江（惜陰・進徳小学校区）,近くにコンビニがある,イオンがない,１．いま住んでる地区にずっと住み続けたい,,住みやすい静か,スマートフォン（スマホ）;テレビ;パソコン,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,もっとにぎやかな街にする,もっとお金を使って発展させる
133,PB00013352,2023-07-14T09:26:12,男性,鯖江（惜陰・進徳小学校区）,,,２．一度、市を出て、また帰ってきたい,,色んな場所に行ってみたいから,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち,,
132,PB00013250,2023-07-14T09:26:10,女性,鯖江（惜陰・進徳小学校区）,犬の散歩がいっぱいできる。,遊べる場所が少ない。,５．県外に移りたい,愛知県,兄も愛知県に住むから,スマートフォン（スマホ）;パソコン,スポーツに親しむ環境が整備されたまち;だれもが自由に移動できる交通利便性の高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,
131,PB00013109,2023-07-14T09:25:49,男性,市外,街の雰囲気が穏やか。,遊べる場所がない,２．一度、市を出て、また帰ってきたい,,他のところにも行ってみたいから。,パソコン;スマートフォン（スマホ）;テレビ,まちなみや景観が美しいまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;デジタル技術を活用したサービスが充実したまち,,
130,PB00013049,2023-07-14T09:25:33,女性,市外,ちょうどいい田舎で、遊ぶ場所には困らないくらいのところ,特にありません,１．いま住んでる地区にずっと住み続けたい,,住み慣れた場所だから,スマートフォン（スマホ）;パソコン;テレビ,大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;個性を尊重し多様なライフスタイルが実現できるまち,もっと有名になって沢山の人が集まるように、たくさんの宣伝などを行っていくといいと思います。,特にありません
129,PB00012909,2023-07-14T09:25:33,女性,神明（神明・鳥羽小学校区）,住みやすい、犯罪が少ない。,"移動に使う交通手段があまり多くないため、県外に出かけるときに不便。
県外に出かけようと思ってもお金が多くかかる。",５．県外に移りたい,東京都,鯖江市内では、自分の欲しい物が手に入りにくかったり、県外に出かけようにもお金が多くかかってしまうため。,スマートフォン（スマホ）;タブレット端末,防災対策や防犯対策が十分で安全安心に暮らせるまち;安心して結婚・出産・子育てができるまち,,
128,PB00012858,2023-07-14T09:25:30,男性,市外,,若者が楽しめるところがない,５．県外に移りたい,大阪　京都　静岡　東京,楽しそう,パソコン;スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;歴史・伝統・芸術・文化を大切にするまち,,
127,PB00012760,2023-07-14T09:25:27,男性,豊,挨拶をしたら挨拶が返って来ること,坂道が多い,２．一度、市を出て、また帰ってきたい,,自然が好きだから,スマートフォン（スマホ）;パソコン;テレビ,まちなみや景観が美しいまち;身近に自然を感じることのできるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,
126,PB00012697,2023-07-14T09:25:26,女性,吉川,車通りが少なめだから住宅街の道路で子供が運動できる,遊べる施設を増やして、一箇所に固めないでほしい。,５．県外に移りたい,,色んなところで人生経験を積みたいから。,スマートフォン（スマホ）,地域資源を活かした観光交流が盛んなまち;スポーツに親しむ環境が整備されたまち;安心して結婚・出産・子育てができるまち,,
125,PB00012504,2023-07-14T09:25:19,女性,鯖江（惜陰・進徳小学校区）,自然がたくさんある,遊ぶ場所が少ない,１．いま住んでる地区にずっと住み続けたい,,今住んでいるところが好きだから,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち,子供がたくさんいる街,特にない
124,PB00012463,2023-07-14T09:25:13,男性,吉川,地区のイベントが多く、地域の人々はとても親切で協力的なところ,"少しでも新しい施設が建ってほしいです
遊べる場所が少ないからです",１．いま住んでる地区にずっと住み続けたい,,この町は治安がよく、平和な日々を過ごせる安心な町だからです,パソコン;スマートフォン（スマホ）;テレビ,子どもから高齢者まで安心して教育を受けられるまち;スポーツに親しむ環境が整備されたまち;身近に自然を感じることのできるまち,平和な町を維持できてほしいです,
123,PB00012396,2023-07-14T09:25:06,女性,市外,,,４．県内の他の市町に移りたい,,他の場所にも行ってみたいから,スマートフォン（スマホ）,まちなみや景観が美しいまち;歴史・伝統・芸術・文化を大切にするまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,
122,PB00012215,2023-07-14T09:25:02,男性,豊,堤防の近くの花壇がとてもきれい,遊ぶ場所が少ない,２．一度、市を出て、また帰ってきたい,,住んでいる場所が快適だから,スマートフォン（スマホ）;テレビ,スポーツに親しむ環境が整備されたまち;だれもが自由に移動できる交通利便性の高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,
121,PB00012180,2023-07-14T09:25:00,女性,北中山,自然が多い,遊べる場所少ない,２．一度、市を出て、また帰ってきたい,,違う場所へ住んでみたいから,スマートフォン（スマホ）;パソコン;タブレット端末,まちなみや景観が美しいまち;産業が盛んで働く場所が充実したまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,不便が少ない町,特になし
120,PB00012009,2023-07-14T09:24:51,女性,市外,山も海もありとてもきれい。,,５．県外に移りたい,大阪府,自分がいきたい学校が大阪にあるから。,スマートフォン（スマホ）;パソコン,まちなみや景観が美しいまち,,
119,PB00011900,2023-07-14T09:24:50,男性,吉川,自然豊か,遊べる場所が少ない,１．いま住んでる地区にずっと住み続けたい,,今住んでいる場所が住みやすいから,パソコン;スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち;安心して結婚・出産・子育てができるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,
118,PB00011890,2023-07-14T09:24:40,男性,吉川,"コウノトリが巣をつくっている
メガネ
若者が積極的",遊べるような施設が少ない,２．一度、市を出て、また帰ってきたい,,鯖江が好きだから,スマートフォン（スマホ）;テレビ;新聞・雑誌など,安心して結婚・出産・子育てができるまち;産業が盛んで働く場所が充実したまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,家族で楽しめる大きな施設とホテルがある街,全国から有名な人を呼んでコンサートなどを開いて欲しい
117,PB00011762,2023-07-14T09:24:39,男性,市外,自然が豊か,ない,５．県外に移りたい,東京,将来県外で行きたい,スマートフォン（スマホ）,スポーツに親しむ環境が整備されたまち;産業が盛んで働く場所が充実したまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,きれい,
116,PB00011693,2023-07-14T09:24:38,男性,鯖江（惜陰・進徳小学校区）,治安がいい,バスが少ない,５．県外に移りたい,福岡県,実家があるから,スマートフォン（スマホ）;タブレット端末,まちなみや景観が美しいまち;高度な医療や福祉サービスが充実したまち;だれもが自由に移動できる交通利便性の高いまち,福井市から県庁所在地奪取,がんばれ
115,PB00011538,2023-07-14T09:24:37,女性,中河,公民館で勉強ができる。,友達と遊べる場所が少ない。,２．一度、市を出て、また帰ってきたい,,住みやすいから。,スマートフォン（スマホ）;パソコン,まちなみや景観が美しいまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,
114,PB00011496,2023-07-14T09:24:32,男性,立待,ゲンキーがある,遊ぶところが少ない,５．県外に移りたい,京都府,京都府が好きだから,スマートフォン（スマホ）;テレビ;新聞・雑誌など,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,他県のひとで賑わってほしい,ショッピング施設を増やしてほしい
113,PB00011389,2023-07-14T09:24:28,男性,鯖江（惜陰・進徳小学校区）,図書館が近くにある,遊べるところが少ない,１．いま住んでる地区にずっと住み続けたい,,住みやすいから,パソコン;スマートフォン（スマホ）;テレビ,安心して結婚・出産・子育てができるまち;だれもが自由に移動できる交通利便性の高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,
112,PB00011259,2023-07-14T09:24:27,女性,市外,"地域の人と繋がれる機会があったからみんな顔見知りで仲良し
",遊べるところがほしい（体育館,５．県外に移りたい,大阪とか東京とかの都会,"いろんな出会いがありそうだから
",スマートフォン（スマホ）;テレビ,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;安心して結婚・出産・子育てができるまち,,
111,PB00011130,2023-07-14T09:24:24,男性,吉川,田んぼ,娯楽,５．県外に移りたい,関西,娯楽があるから,スマートフォン（スマホ）,スポーツに親しむ環境が整備されたまち;デジタル技術を活用したサービスが充実したまち,遊園地,ない
110,PB00011059,2023-07-14T09:23:49,男性,市外,自然を感じられる,ない,１．いま住んでる地区にずっと住み続けたい,,県内でやりたい仕事があるから,スマートフォン（スマホ）,スポーツに親しむ環境が整備されたまち,,
109,PB00010924,2023-07-14T09:23:43,女性,新横江（鯖江東小学校区）,田んぼや山に囲まれているところ,"友達と遊べる時間が少ない
交通機関の便が変わってほしい",５．県外に移りたい,大阪、東京、愛知、横浜、奈良,奈良に住んでいたことがあり、将来都会に戻りたいと思っているから。,パソコン;スマートフォン（スマホ）;テレビ,子どもから高齢者まで安心して教育を受けられるまち;歴史・伝統・芸術・文化を大切にするまち;まちなみや景観が美しいまち,都会に少しでも近づいたらいいなと思う。,"イオンモールを作って欲しい。
"
108,PB00010889,2023-07-14T09:23:42,女性,市外,駄菓子屋がある,バスが少ない,５．県外に移りたい,東京,田舎だから,スマートフォン（スマホ）,身近に自然を感じることのできるまち,,
107,PB00010710,2023-07-14T09:23:28,男性,市外,海,遊ぶ場所が少ない,２．一度、市を出て、また帰ってきたい,,住みやすい,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち,ない,ない
106,PB00010677,2023-07-14T09:23:12,男性,吉川,自然豊か,特になし,１．いま住んでる地区にずっと住み続けたい,,今住んでいる場所が住みやすいから,パソコン;スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち;安心して結婚・出産・子育てができるまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,,
105,PB00010575,2023-07-14T09:23:11,男性,市外,自然豊か,商業施設を増やしてほしい,５．県外に移りたい,東京,便利だから,パソコン;スマートフォン（スマホ）;タブレット端末,子どもから高齢者まで安心して教育を受けられるまち,みんなメガネ,
104,PB00010415,2023-07-14T09:22:57,男性,鯖江（惜陰・進徳小学校区）,交通の便が良い,大型ショッピングモールが少ない,１．いま住んでる地区にずっと住み続けたい,,住んでいる場所に不満が少ないから,パソコン;スマートフォン（スマホ）;テレビ,デジタル技術を活用したサービスが充実したまち;子どもから高齢者まで安心して教育を受けられるまち;高度な医療や福祉サービスが充実したまち,,
103,PB00010338,2023-07-14T09:22:50,男性,立待,静かでのどか,大型のショッピングモールがない,２．一度、市を出て、また帰ってきたい,,都会にも住んでみたいから,スマートフォン（スマホ）,身近に自然を感じることのできるまち,,
102,PB00010275,2023-07-14T09:22:48,男性,市外,,,５．県外に移りたい,,ｑ,スマートフォン（スマホ）,デジタル技術を活用したサービスが充実したまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,,
101,PB00010106,2023-07-14T09:22:47,男性,立待,"静か
運動できる場所がある",少し移動しないと買い物ができない,２．一度、市を出て、また帰ってきたい,,住みやすい,パソコン;スマートフォン（スマホ）;タブレット端末,子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち;スポーツに親しむ環境が整備されたまち,施設の充実した田舎,特になし
100,PB00010073,2023-07-14T09:22:43,回答しない,新横江（鯖江東小学校区）,静か,,２．一度、市を出て、また帰ってきたい,,いろんなところに行きたい,スマートフォン（スマホ）,まちなみや景観が美しいまち;安心して結婚・出産・子育てができるまち,,
99,PB00009976,2023-07-14T09:22:40,女性,市外,"自然がいい
住みやすい","FamilyMartが多すぎる！！！！！
どこ行ってもファミマ！
セブンイレブン、ローソン、ミニストップをもっと増やしてほしいです。（笑）",５．県外に移りたい,都会,夢がある,スマートフォン（スマホ）;携帯電話（スマートフォン以外）;タブレット端末,スポーツに親しむ環境が整備されたまち;人々のふれあいやコミュニティ活動が盛んで温かいまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,ない,特にない
98,PB00009823,2023-07-14T09:22:33,女性,市外,,,５．県外に移りたい,京都,都会に行きたいから,スマートフォン（スマホ）;タブレット端末,だれもが自由に移動できる交通利便性の高いまち;子どもから高齢者まで安心して教育を受けられるまち,,
97,PB00009741,2023-07-14T09:22:23,男性,北中山,"公民館に一年中利用できる自習室がある
",バスの来る間隔があきすぎる,５．県外に移りたい,大阪府、京都府、石川県,県外に住んでみたいから,スマートフォン（スマホ）,お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;若者や女性に選ばれる魅力のあるまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,特になし,特になし
96,PB00009617,2023-07-14T09:22:19,男性,鯖江（惜陰・進徳小学校区）,食べ物の店が多い,特になし,１．いま住んでる地区にずっと住み続けたい,,住みやすいから,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち,特になし,特になし
95,PB00009560,2023-07-14T09:22:18,男性,市外,駅が近い,遊べるとこがほしい,５．県外に移りたい,大阪府,都会に憧れがある,スマートフォン（スマホ）;テレビ;パソコン,歴史・伝統・芸術・文化を大切にするまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,
94,PB00009477,2023-07-14T09:22:06,女性,立待,地区のイベントがある,もっと遊べる場所がほしい,１．いま住んでる地区にずっと住み続けたい,,住み慣れているから,スマートフォン（スマホ）,まちなみや景観が美しいまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,にぎやかになる,特になし
93,PB00009378,2023-07-14T09:22:05,女性,神明（神明・鳥羽小学校区）,小さい規模だけどまつりなどが行われること,"友だちと遊べる場所が増えてほしい
",２．一度、市を出て、また帰ってきたい,,住みやすい地域で安心するから,スマートフォン（スマホ）;テレビ;パソコン,子どもから高齢者まで安心して教育を受けられるまち;地域資源を活かした観光交流が盛んなまち;人々のふれあいやコミュニティ活動が盛んで温かいまち,人々が買い物などを好きなようにできるショッピングモールなどを作りより多くの人が鯖江市に住んでもらえるようにする,自然が豊かなところはそのままの景観を保ってほしい
92,PB00009244,2023-07-14T09:21:50,男性,神明（神明・鳥羽小学校区）,スーパーがある,遊ぶ場所が少ない,４．県内の他の市町に移りたい,福井市,鯖江は何もない,スマートフォン（スマホ）,人々のふれあいやコミュニティ活動が盛んで温かいまち,ない,給付金くれ
91,PB00009158,2023-07-14T09:21:48,女性,鯖江（惜陰・進徳小学校区）,自然豊かで、周りに割となんでもある。,遊べる場所がない。,５．県外に移りたい,大阪府、愛知県,行きたい専門学校があるから。,スマートフォン（スマホ）;タブレット端末;パソコン,だれもが自由に移動できる交通利便性の高いまち;子どもから高齢者まで安心して教育を受けられるまち;歴史・伝統・芸術・文化を大切にするまち,街がもっとにぎやかになって欲しい。,特になし。
90,PB00009010,2023-07-14T09:21:36,女性,市外,,,５．県外に移りたい,大阪府,将来やりたい仕事が県外にしかないから,スマートフォン（スマホ）,歴史・伝統・芸術・文化を大切にするまち;地域資源を活かした観光交流が盛んなまち;だれもが自由に移動できる交通利便性の高いまち,,
89,PB00008963,2023-07-14T09:21:23,男性,鯖江（惜陰・進徳小学校区）,近所の人達との付き合いがいいこと,特にない,２．一度、市を出て、また帰ってきたい,,他の県で仕事をしてみたいから,パソコン;スマートフォン（スマホ）;テレビ,人々のふれあいやコミュニティ活動が盛んで温かいまち,,
88,PB00008854,2023-07-14T09:21:19,男性,市外,人が優しい,高校までの道が狭い,５．県外に移りたい,東京都,色々発見できることが多いと思うから,パソコン;スマートフォン（スマホ）;新聞・雑誌など,まちなみや景観が美しいまち,特にない,特にない
87,PB00008772,2023-07-14T09:21:17,女性,鯖江（惜陰・進徳小学校区）,高めにあるから津波の心配がない,ドンキやスタバがない,５．県外に移りたい,東京,都会だから,スマートフォン（スマホ）,子どもから高齢者まで安心して教育を受けられるまち,イオンを作る,
86,PB00008640,2023-07-14T09:21:14,男性,鯖江（惜陰・進徳小学校区）,自然が豊かなところ,遊べる場所が少ない,２．一度、市を出て、また帰ってきたい,,県外にも住んでみたいから,パソコン;スマートフォン（スマホ）;タブレット端末,スポーツに親しむ環境が整備されたまち,運動する人が多くいるところにしたい,特にない
85,PB00008589,2023-07-14T09:21:10,女性,鯖江（惜陰・進徳小学校区）,,遊ぶところがない,５．県外に移りたい,名古屋、東京,もともと住んでいたから,スマートフォン（スマホ）,人々のふれあいやコミュニティ活動が盛んで温かいまち;まちなみや景観が美しいまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,,
84,PB00008491,2023-07-14T09:21:05,男性,市外,"


自然豊か",,１．いま住んでる地区にずっと住み続けたい,,"


今住んでいる街が住みやすい",スマートフォン（スマホ）,まちなみや景観が美しいまち;地域資源を活かした観光交流が盛んなまち;身近に自然を感じることのできるまち,"


男女平等","

"
83,PB00008376,2023-07-14T09:21:03,女性,市外,まつりがあること。,遊ぶ場所を増やしてほしい,５．県外に移りたい,佐賀,他の県に住んでみたいから,スマートフォン（スマホ）,高度な医療や福祉サービスが充実したまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,住みやすい街,遊べる場所がほしい
82,PB00008234,2023-07-14T09:20:15,男性,神明（神明・鳥羽小学校区）,ちょっと発展している,"遊ぶ場所がない
遊び尽くした",５．県外に移りたい,関西,なんでもあり便利だから,スマートフォン（スマホ）,安心して結婚・出産・子育てができるまち;個性を尊重し多様なライフスタイルが実現できるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち,イオンモール,市の議員がおじさんだらけ
81,PB00008171,2023-07-14T09:20:10,男性,市外,川,ない,５．県外に移りたい,東京,モノにあふれているから,スマートフォン（スマホ）,まちなみや景観が美しいまち,なし,なし
80,PB00008050,2023-07-14T09:20:09,女性,鯖江（惜陰・進徳小学校区）,スーパーや、薬局などがたくさんあって便利なこと,遊ぶ場所がない,５．県外に移りたい,兵庫県,地元が兵庫だから。,スマートフォン（スマホ）;タブレット端末,歴史・伝統・芸術・文化を大切にするまち;スポーツに親しむ環境が整備されたまち;だれもが自由に移動できる交通利便性の高いまち,特にない,"交通機関を増やしてほしい。
遊べるところがほしい。"
79,PB00007984,2023-07-14T09:19:58,男性,市外,ない,遊ぶところが少ない,５．県外に移りたい,京都,住みやすそうだから,スマートフォン（スマホ）,デジタル技術を活用したサービスが充実したまち,遊ぶ施設が増える,
78,PB00007894,2023-07-14T09:19:57,男性,神明（神明・鳥羽小学校区）,周りに比べて土地が高く眺めがいい　緑に囲まれている,楽しめる場所を作って欲しい,５．県外に移りたい,愛知県,地元に帰って働きたいから,パソコン;スマートフォン（スマホ）;携帯電話（スマートフォン以外）,スポーツに親しむ環境が整備されたまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,鯖江市にしかない店やメガネのように食べ物でももっと有名なところになって欲しい,
77,PB00007741,2023-07-14T09:19:55,女性,吉川,自然が豊か,遊ぶところが少ない,４．県内の他の市町に移りたい,越前,遊ぶとこが多い,スマートフォン（スマホ）,だれもが自由に移動できる交通利便性の高いまち;子どもから高齢者まで安心して教育を受けられるまち;まちなみや景観が美しいまち,安心安全,
76,PB00007672,2023-07-14T09:19:37,女性,市外,自然に囲まれている。動物がたくさん出る。,特にない。,５．県外に移りたい,大阪府,行きたい専門学校が大阪にあるから。,スマートフォン（スマホ）;タブレット端末;パソコン,子どもから高齢者まで安心して教育を受けられるまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;防災対策や防犯対策が十分で安全安心に暮らせるまち,メガネの街としてもっと有名になる。,特になし。
75,PB00007571,2023-07-14T09:19:31,男性,市外,自然が豊富で、すごしやすくて、田舎。,鯖江高校の位置が悪すぎる。,２．一度、市を出て、また帰ってきたい,,県外に行ってみたいという気持ちもあるし、福井に居てもいいと思うこともあるから。,スマートフォン（スマホ）,スポーツに親しむ環境が整備されたまち;お店や娯楽施設が豊富で夜でもにぎやかさのあるまち;身近に自然を感じることのできるまち,,
74,PB00007418,2023-07-14T09:19:13,女性,市外,周りは緑が多く、自然が豊かであるところ,遊べる場所が少ない,２．一度、市を出て、また帰ってきたい,,今住んでいる場所が落ち着くから,パソコン;スマートフォン（スマホ）;テレビ,まちなみや景観が美しいまち;だれもが自由に移動できる交通利便性の高いまち;大型商業施設（複合型店舗）があり生活利便性や満足度が高いまち,人が多くてにぎやか,お店が多いと良き
